Dystans (m),Wysokość (m)
0,520.6836547851562
5.513195448244276,520.731201171875
11.026390896488552,520.7785034179688
16.53958634473283,520.82861328125
22.052781792977104,520.8988037109375
27.56597724122138,520.968505859375
33.07917268946566,521.03759765625
38.59236813770993,521.1039428710938
44.10556358595421,521.1681518554688
49.61875903419848,521.2304077148438
55.13195448244276,521.2623901367188
60.64514993068703,521.2847900390625
66.15834537893132,521.307861328125
71.67154082717559,521.3504028320312
77.18473627541987,521.4098510742188
82.69793172366414,521.4717407226562
88.21112717190842,521.5324096679688
93.72432262015269,521.5894775390625
99.23751806839697,521.6491088867188
104.75071351664124,521.70458984375
110.26390896488552,521.7319946289062
115.77710441312979,521.7592163085938
121.29029986137407,521.7863159179688
126.80349530961834,521.807861328125
132.31669075786263,521.8316040039062
137.8298862061069,521.8575439453125
143.34308165435118,521.9002075195312
148.85627710259544,521.9480590820312
154.36947255083973,521.9978637695312
159.882667999084,522.0608520507812
165.39586344732828,522.1307983398438
170.90905889557254,522.2010498046875
176.42225434381683,522.28369140625
181.93544979206112,522.3822631835938
187.44864524030538,522.4828491210938
192.96184068854967,522.618896484375
198.47503613679393,522.8590698242188
203.98823158503822,523.1199340820312
209.50142703328248,523.3958129882812
215.01462248152677,523.6294555664062
220.52781792977103,523.8787841796875
226.04101337801532,524.143798828125
231.55420882625958,525.1165771484375
237.06740427450387,526.2960205078125
242.58059972274813,527.5402221679688
248.09379517099242,530.1624145507812
253.60699061923668,533.3388061523438
259.120186067481,536.5527954101562
264.63338151572526,540.5006713867188
270.14657696396955,545.0873413085938
275.6597724122138,549.7076416015625
281.1729678604581,554.715087890625
286.68616330870236,560.4058227539062
292.19935875694665,566.1260986328125
297.7125542051909,572.081787109375
303.2257496534352,579.068115234375
308.73894510167946,586.0472412109375
314.25214054992375,593.0191040039062
319.765335998168,600.6007080078125
325.2785314464123,608.2630615234375
330.79172689465656,615.99658203125
336.30492234290085,623.226318359375
341.8181177911451,630.4735717773438
347.3313132393894,637.9556884765625
352.84450868763366,643.9146728515625
358.35770413587795,648.958251953125
363.87089958412224,654.1702880859375
369.3840950323665,659.7340698242188
374.89729048061076,665.5377197265625
380.41048592885505,671.272705078125
385.92368137709934,676.79296875
391.4368768253436,681.8035888671875
396.95007227358786,686.7481689453125
402.46326772183215,691.5670776367188
407.97646317007644,695.5013427734375
413.4896586183207,699.4649047851562
419.00285406656496,703.457763671875
424.51604951480925,707.04931640625
430.02924496305354,710.6217651367188
435.5424404112978,714.234375
441.05563585954206,717.93408203125
446.56883130778635,721.7780151367188
452.08202675603064,725.6881103515625
457.59522220427493,729.9790649414062
463.10841765251917,734.60009765625
468.62161310076345,739.231689453125
474.13480854900774,743.9705810546875
479.64800399725203,748.677490234375
485.16119944549627,753.033447265625
490.67439489374055,756.68994140625
496.18759034198484,757.9606323242188
501.70078579022913,758.9265747070312
507.21398123847337,759.5878295898438
512.7271766867177,758.9857788085938
518.240372134962,758.2098388671875
523.7535675832062,757.3025512695312
529.2667630314505,755.7276611328125
534.7799584796948,753.8911743164062
540.2931539279391,751.9502563476562
545.8063493761833,749.342041015625
551.3195448244276,746.2452392578125
556.8327402726719,743.0903930664062
562.3459357209161,739.6157836914062
567.8591311691604,735.7182006835938
573.3723266174047,731.7855834960938
578.885522065649,727.6951293945312
584.3987175138933,723.18798828125
589.9119129621375,718.7144775390625
595.4251084103818,714.3198852539062
600.9383038586261,710.8829345703125
606.4514993068703,707.2247314453125
611.9646947551146,703.3453369140625
617.4778902033589,698.7527465820312
622.9910856516032,694.05810546875
628.5042810998475,689.3588256835938
634.0174765480917,684.2625122070312
639.530671996336,678.9564819335938
645.0438674445803,673.6283569335938
650.5570628928245,668.212646484375
656.0702583410689,662.7470703125
661.5834537893131,657.3529663085938
667.0966492375574,652.0465087890625
672.6098446858017,646.8610229492188
678.1230401340459,641.7120361328125
683.6362355822902,636.6112060546875
689.1494310305345,631.628173828125
694.6626264787787,626.6777954101562
700.1758219270231,621.7600708007812
705.6890173752673,617.29150390625
711.2022128235116,612.922607421875
716.7154082717559,608.626953125
722.2286037200001,604.8011474609375
727.7417991682445,601.23388671875
733.2549946164887,597.80322265625
738.768190064733,594.1802978515625
744.2813855129773,590.3806762695312
749.7945809612215,586.6348876953125
755.3077764094658,583.1456298828125
760.8209718577101,579.9602661132812
766.3341673059543,576.632080078125
771.8473627541987,573.2659301757812
777.3605582024429,569.8425903320312
782.8737536506871,566.5060424804688
788.3869490989315,563.2732543945312
793.9001445471757,561.07568359375
799.4133399954201,558.9977416992188
804.9265354436643,557.0394287109375
810.4397308919085,556.2512817382812
815.9529263401529,555.767822265625
821.4661217883971,555.3775634765625
826.9793172366414,555.4456787109375
832.4925126848857,555.8267211914062
838.0057081331299,556.3290405273438
843.5189035813743,557.5684204101562
849.0320990296185,559.6994018554688
854.5452944778627,562.039794921875
860.0584899261071,564.8934326171875
865.5716853743513,568.68603515625
871.0848808225956,572.6126098632812
876.5980762708399,576.5585327148438
882.1112717190841,580.094970703125
887.6244671673285,583.7021484375
893.1376626155727,587.3799438476562
898.6508580638169,590.7078247070312
904.1640535120613,594.0275268554688
909.6772489603055,597.3767700195312
915.1904444085499,600.714599609375
920.7036398567941,604.0466918945312
